exigence;module;intitule_module;libelle_exigence;priorite;cas_de_test;livrables_couvrants;statut_recette;critere_ou_observation
EF-M01-01;M01;Référentiels et paramétrage;Paramétrer la structure : nom, type (CS, CSR, poste de santé, HGR), province, zone de santé, aire de santé, code SNIS, population de responsabilité par année, villages et quartiers rattachés;Indispensable;CT-M01-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M01-02;M01;Référentiels et paramétrage;Gérer le référentiel des services et unités fonctionnelles (réception, consultation, soins, maternité, observation, laboratoire, pharmacie, logistique);Indispensable;CT-M01-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M01-03;M01;Référentiels et paramétrage;Gérer le catalogue des actes et prestations avec code, libellé, unité, tarif, service, durée, coût de revient indicatif;Indispensable;CT-M01-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M01-04;M01;Référentiels et paramétrage;Gérer le référentiel des diagnostics basé sur la CIM-10, avec sous-ensemble « maladies à notification obligatoire » du canevas SNIS et libellés locaux;Indispensable;CT-M01-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M01-05;M01;Référentiels et paramétrage;Gérer le référentiel des examens de laboratoire aligné sur LOINC, avec valeurs de référence par âge et sexe, unités et seuils d'alerte;Indispensable;CT-M01-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M01-06;M01;Référentiels et paramétrage;Gérer le référentiel des médicaments en DCI, forme, dosage, conditionnement, classe thérapeutique, statut « liste nationale des médicaments essentiels », produit traceur oui/non, chaîne du froid oui/non;Indispensable;CT-M01-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M01-07;M01;Référentiels et paramétrage;Gérer les grilles tarifaires multiples : tarif forfaitaire par épisode, tarif à l'acte, tarif par régime de prise en charge, date d'effet et historique;Indispensable;CT-M01-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M01-08;M01;Référentiels et paramétrage;Gérer les jours fériés, horaires d'ouverture, tours de garde et roulements de service;Indispensable;CT-M01-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M01-09;M01;Référentiels et paramétrage;Gérer les unités de mesure, devises (CDF, USD) avec taux de change daté et arrondis paramétrables;Indispensable;CT-M01-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M01-10;M01;Référentiels et paramétrage;Importer/exporter tous les référentiels en CSV/Excel pour initialisation et mise à jour de masse;Indispensable;CT-M01-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M01-11;M01;Référentiels et paramétrage;Versionner les référentiels : toute modification conserve l'historique et n'altère pas les enregistrements passés;Indispensable;CT-M01-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M01-12;M01;Référentiels et paramétrage;Paramétrer les ordinogrammes et protocoles nationaux (paludisme, IRA, diarrhée, PCIME, IST) sous forme d'arbres de décision éditables sans redéploiement;Souhaitable;CT-M01-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M02-01;M02;Identité patient et dossier unique;Créer un patient avec identifiant unique permanent (numéro de dossier) et code-barres/QR imprimable sur la carte du patient;Indispensable;CT-M02-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M02-02;M02;Identité patient et dossier unique;Champs minimaux : nom, post-nom, prénom, sexe, date de naissance ou âge estimé, état civil, profession, téléphone, adresse (avenue, quartier, village, aire de santé), personne à contacter, provenance (zone de santé / hors zone);Indispensable;CT-M02-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M02-03;M02;Identité patient et dossier unique;Gérer les cas d'âge inconnu (âge déclaré, année approximative) et les nouveau-nés sans prénom, avec régularisation ultérieure;Indispensable;CT-M02-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M02-04;M02;Identité patient et dossier unique;Recherche tolérante aux fautes : phonétique adaptée aux noms locaux, recherche par téléphone, par numéro de dossier, par scan de carte, par nom de la mère;Indispensable;CT-M02-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M02-05;M02;Identité patient et dossier unique;Détecter les doublons à la création (score de similarité) et permettre la fusion de dossiers avec conservation de l'historique et de la trace de fusion;Indispensable;CT-M02-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M02-06;M02;Identité patient et dossier unique;Gérer les liens familiaux : ménage, mère–enfant (obligatoire pour la CPS, le PEV et la PTME), tuteur;Indispensable;"CT-M02-03 ; CT-M09-03";"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M02-07;M02;Identité patient et dossier unique;Rattacher un patient à un ou plusieurs régimes de prise en charge : payant, mutualiste (n° d'affiliation, mutuelle, taux), indigent (décision et validité), gratuité maternité/nouveau-né, programme vertical, employeur conventionné;Indispensable;CT-M02-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M02-08;M02;Identité patient et dossier unique;Dossier patient chronologique unique consolidant consultations, examens, prescriptions, dispensations, vaccins, hospitalisations, accouchements, factures, références;Indispensable;CT-M02-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M02-09;M02;Identité patient et dossier unique;Marquer les alertes cliniques : allergies, groupe sanguin, pathologies chroniques, traitements au long cours, grossesse en cours;Indispensable;CT-M02-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M02-10;M02;Identité patient et dossier unique;Gérer le consentement du patient au traitement de ses données et à la réception de SMS, conformément au Code du numérique (R6);Indispensable;CT-M02-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M02-11;M02;Identité patient et dossier unique;Journaliser tout accès en lecture au dossier d'un patient (qui, quand, quoi);Indispensable;CT-M02-04;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M03-01;M03;Accueil, file d'attente et triage;Enregistrer une venue (épisode de soins) avec date, heure, motif, type (nouveau cas, ancien cas, référé, urgence, préventif);Indispensable;CT-M03-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M03-02;M03;Accueil, file d'attente et triage;Distinguer explicitement nouveau cas / ancien cas selon les règles SNIS, avec calcul automatique proposé et possibilité de correction motivée;Indispensable;CT-M03-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M03-03;M03;Accueil, file d'attente et triage;Gérer une file d'attente par service, avec numéro d'ordre, jeton de couleur pour urgence/référé, et affichage écran ou impression de ticket;Indispensable;CT-M03-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M03-04;M03;Accueil, file d'attente et triage;Triage avec constantes (poids, taille, température, tension, pouls, fréquence respiratoire, SpO2, périmètre brachial) et calcul automatique IMC, z-scores, signes de danger PCIME;Indispensable;CT-M03-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M03-05;M03;Accueil, file d'attente et triage;Orienter automatiquement vers le service compétent selon le motif et le triage;Indispensable;CT-M03-03;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M03-06;M03;Accueil, file d'attente et triage;Afficher au patient le circuit et le tarif applicable avant la prestation (exigence FBP d'affichage des tarifs);Indispensable;CT-M03-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
EF-M03-07;M03;Accueil, file d'attente et triage;Mesurer et restituer les temps d'attente par étape;Souhaitable;CT-M03-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Maquettes ; Jeu de données de démonstration";À vérifier;
