code_interne;rubrique_canevas;libelle_snis;unite;ventilation_interne;dhis2_dataSet;dhis2_dataElement_uid_placeholder;dhis2_categoryCombo;dhis2_categoryOptionCombo_placeholder;periode_type;source_calcul;regle_agregation;controle_coherence
SNIS-CONS-001;CONSULTATIONS;Cas reçus;nombre;SEXE x AGE;DS_SNIS_CS_MENSUEL;DE_CONS_CAS_RECUS;CC_SEXE_AGE;COC_{M|F}_{0-11M|12-59M|5-14A|15-49A|50A+};Monthly;venue (type_venue = CURATIF, statut CLOTUREE);somme;CTL-001 cas reçus = nouveaux + anciens
SNIS-CONS-002;CONSULTATIONS;Nouveaux cas;nombre;SEXE x AGE;DS_SNIS_CS_MENSUEL;DE_CONS_NOUVEAUX_CAS;CC_SEXE_AGE;COC_{M|F}_{tranche};Monthly;venue (cas = NOUVEAU) selon RG-02;somme;CTL-001
SNIS-CONS-003;CONSULTATIONS;Anciens cas;nombre;SEXE x AGE;DS_SNIS_CS_MENSUEL;DE_CONS_ANCIENS_CAS;CC_SEXE_AGE;COC_{M|F}_{tranche};Monthly;venue (cas = ANCIEN);somme;CTL-001
SNIS-CONS-004;CONSULTATIONS;Nouveaux cas femmes enceintes;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_CONS_NC_FEMMES_ENCEINTES;default;HllvX50cXC0;Monthly;venue jointe à dossier_grossesse actif;somme;CTL-002 valeur <= nouveaux cas F 15-49
SNIS-CONS-005;CONSULTATIONS;Nouveaux cas mutualistes;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_CONS_NC_MUTUALISTES;default;HllvX50cXC0;Monthly;venue avec regime MUTUELLE;somme;CTL-003 valeur <= nouveaux cas
SNIS-CONS-006;CONSULTATIONS;Nouveaux cas indigents;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_CONS_NC_INDIGENTS;default;HllvX50cXC0;Monthly;venue avec regime INDIGENT;somme;CTL-003
SNIS-MORB-001;MORBIDITE;Paludisme confirmé;nombre;SEXE x AGE;DS_SNIS_CS_MENSUEL;DE_MORB_PALU_CONFIRME;CC_SEXE_AGE;COC_{M|F}_{tranche};Monthly;consultation_diagnostic (CIM-10 B50-B54, confirme = vrai);somme;CTL-004 palu confirmé <= TDR + GE positifs du labo
SNIS-MORB-002;MORBIDITE;Pneumonie;nombre;SEXE x AGE;DS_SNIS_CS_MENSUEL;DE_MORB_PNEUMONIE;CC_SEXE_AGE;COC_{M|F}_{tranche};Monthly;consultation_diagnostic (J12-J18);somme;CTL-005 somme des morbidités <= cas reçus
SNIS-MORB-003;MORBIDITE;Diarrhée;nombre;SEXE x AGE;DS_SNIS_CS_MENSUEL;DE_MORB_DIARRHEE;CC_SEXE_AGE;COC_{M|F}_{tranche};Monthly;consultation_diagnostic (A09);somme;CTL-005
SNIS-MERE-001;SANTE_MERE;CPN 1re visite;nombre;aucune;DS_SNIS_CS_MENSUEL;DE_MERE_CPN1;default;HllvX50cXC0;Monthly;visite_cpn (numero_visite = 1);somme;CTL-006 CPN4 <= CPN1 en cumul annuel
